,Unnamed: 0_ctx,names,scores_ctx,logfoldchanges_ctx,pvals_ctx,pvals_adj_ctx,subclass_ctx,group_ctx,Unnamed: 0_new,scores_new,logfoldchanges_new,pvals_new,pvals_adj_new,subclass_new,group_new
40,2356823,Zmym4,3.2628725,0.63836414,0.0011028915059555,1.0,L5 IT CTX,Satb2,701778,-0.016525326,-0.06255186,0.9868152974855812,1.0,L5 IT,Satb2
41,2356822,Pde4b,3.2921286,0.43003216,0.0009943214063204,1.0,L5 IT CTX,Satb2,708872,-0.45782262,-0.0256439,0.6470798894031526,1.0,L5 IT,Satb2
42,2356821,Dscaml1,3.318134,1.4478836,0.0009062098640815,1.0,L5 IT CTX,Satb2,678008,3.2572663,1.2138608,0.0011249089584534,1.0,L5 IT,Satb2
43,2356820,Ncam2,3.3831477,0.4106749,0.000716600856685,1.0,L5 IT CTX,Satb2,678149,2.1688159,0.2937668,0.0300966719190266,1.0,L5 IT,Satb2
44,2356819,Specc1,3.4205306,0.84519917,0.0006249911957948,1.0,L5 IT CTX,Satb2,678271,1.8352885,0.3923051,0.0664629528018931,1.0,L5 IT,Satb2
45,2356865,Kcnh5,2.6460555,0.69205576,0.0081436464643487,1.0,L5 IT CTX,Satb2,679292,1.0128425,0.14766753,0.3111353627205738,1.0,L5 IT,Satb2
46,2356864,Acyp2,2.652557,0.72516173,0.0079884681088072,1.0,L5 IT CTX,Satb2,678154,2.159576,0.5152894,0.030805521703074,1.0,L5 IT,Satb2
47,2356863,Arhgap10,2.6549947,0.7356832,0.0079309623429741,1.0,L5 IT CTX,Satb2,678294,1.8042814,0.5632887,0.071187218103468,1.0,L5 IT,Satb2
48,2356862,Suds3,2.6753116,0.89857686,0.0074659823133516,1.0,L5 IT CTX,Satb2,687524,0.012349572,-0.1826843,0.9901467178614204,1.0,L5 IT,Satb2
49,2356861,Smarcd3,2.6810002,1.3377343,0.0073402451978545,1.0,L5 IT CTX,Satb2,680918,0.5495115,0.39116204,0.5826544623909171,1.0,L5 IT,Satb2
50,2356860,Prkcb,2.6883144,0.22830231,0.0071813761155596,1.0,L5 IT CTX,Satb2,678151,2.1676607,0.29044557,0.0301845044805576,1.0,L5 IT,Satb2
51,2356859,Nfib,2.6899397,0.67254037,0.0071464937867168,1.0,L5 IT CTX,Satb2,678247,1.8980137,0.44215548,0.0576942810844895,1.0,L5 IT,Satb2
52,2356858,Plcb1,2.7021298,0.29216465,0.0068896875212609,1.0,L5 IT CTX,Satb2,678053,2.72197,0.23574968,0.0064894035595171,1.0,L5 IT,Satb2
53,2356857,Chfr,2.706193,0.6947555,0.0068059462192275,1.0,L5 IT CTX,Satb2,705394,-0.08920122,-0.033016663,0.9289219934672291,1.0,L5 IT,Satb2
54,2356856,Tspoap1,2.7118819,0.73374104,0.0066902449843054,1.0,L5 IT CTX,Satb2,682490,0.32117772,-0.05637404,0.7480757227464157,1.0,L5 IT,Satb2
55,2356855,Wls,2.7232592,1.0371767,0.0064641327145472,1.0,L5 IT CTX,Satb2,678072,2.6020281,0.66459244,0.0092674257260468,1.0,L5 IT,Satb2
56,2356854,Sept6,2.755766,1.0602458,0.0058554873610539,1.0,L5 IT CTX,Satb2,678377,1.6806079,0.5166606,0.0928390999325705,1.0,L5 IT,Satb2
57,2356853,Nrg2,2.7663307,0.7385192,0.0056691011956768,1.0,L5 IT CTX,Satb2,679286,1.0147972,0.17388345,0.3102025182735481,1.0,L5 IT,Satb2
58,2356852,Prickle2,2.767956,0.31808993,0.0056409062935054,1.0,L5 IT CTX,Satb2,678011,3.155982,0.37859145,0.0015995877845735,1.0,L5 IT,Satb2
59,2356851,R3hdm1,2.7728322,0.27492738,0.005557078973526,1.0,L5 IT CTX,Satb2,678295,1.8009052,0.15047644,0.0717178281680707,1.0,L5 IT,Satb2
60,2356850,Pde1a,2.8061516,0.55683166,0.0050137103678068,1.0,L5 IT CTX,Satb2,678300,1.7945082,0.29837614,0.0727320800697288,1.0,L5 IT,Satb2
61,2356881,Plcxd3,2.541221,0.721283,0.0110466086572909,1.0,L5 IT CTX,Satb2,678590,1.4510303,0.3810413,0.1467714363809758,1.0,L5 IT,Satb2
62,2356880,Sorbs1,2.543659,0.5448231,0.0109698130316259,1.0,L5 IT CTX,Satb2,678050,2.7486238,0.4626543,0.0059846041015,1.0,L5 IT,Satb2
63,2356879,Syt14,2.5452843,0.5016587,0.0109188798635768,1.0,L5 IT CTX,Satb2,682356,0.3361038,0.030728335,0.7367925844927574,1.0,L5 IT,Satb2
64,2356878,Plcg1,2.5469096,1.1161932,0.0108681569684819,1.0,L5 IT CTX,Satb2,709774,-0.8502547,-0.5659329,0.3951835043827948,1.0,L5 IT,Satb2
