,Unnamed: 0,names,scores,logfoldchanges,pvals,pvals_adj,subclass,group
4197012,4197012,Csmd1,-8.467356,-0.23429786,2.5102691222321906e-17,1.0525199819644968e-14,L6 CT CTX,Tbr1
4197011,4197011,Slc24a2,-8.45164,-0.42641193,2.8723796558878286e-17,1.1889073998761356e-14,L6 CT CTX,Tbr1
4164804,4164804,Celf2,8.35814,0.2248438,6.37150186674895e-17,2.6038473135188588e-14,L6 CT CTX,Tbr1
4197010,4197010,Fut9,-8.334606,-0.43414435,7.775638593221984e-17,3.1379561497771475e-14,L6 CT CTX,Tbr1
4164805,4164805,Atp2b1,8.324814,0.3212956,8.44611598967483e-17,3.3664549966253326e-14,L6 CT CTX,Tbr1
4164806,4164806,Camkv,8.2129135,1.1816181,2.1588562315108208e-16,8.499838223698397e-14,L6 CT CTX,Tbr1
4197009,4197009,Slc35f4,-8.204385,-0.7257199,2.31775412430691e-16,9.015505048584171e-14,L6 CT CTX,Tbr1
4164807,4164807,Cntnap5a,8.119175,1.5686748,4.693616671488614e-16,1.8039692171310705e-13,L6 CT CTX,Tbr1
4164808,4164808,Atp8a1,8.085455,0.5840713,6.193249288371362e-16,2.35234180323611e-13,L6 CT CTX,Tbr1
4164809,4164809,Cacna1g,8.053788,2.5214798,8.027020550496149e-16,3.0133995171252123e-13,L6 CT CTX,Tbr1
4164810,4164810,Nsg2,8.052366,1.0702456,8.120827348443604e-16,3.0135736890172613e-13,L6 CT CTX,Tbr1
4197008,4197008,Cntn4,-8.01912,-0.5744255,1.0650539313222757e-15,3.9074166105386005e-13,L6 CT CTX,Tbr1
4164811,4164811,Cpne6,7.981925,2.5882607,1.440685516543124e-15,5.226127179954467e-13,L6 CT CTX,Tbr1
4197007,4197007,Dnm3,-7.8656807,-0.74021995,3.670957854681335e-15,1.3168541593154097e-12,L6 CT CTX,Tbr1
4197006,4197006,Me3,-7.826432,-0.58314043,5.019087812313136e-15,1.7806730771486766e-12,L6 CT CTX,Tbr1
4164812,4164812,Cnr1,7.79595,1.6689891,6.392574383453615e-15,2.2433072170630426e-12,L6 CT CTX,Tbr1
4164813,4164813,Ptprs,7.7945285,0.7589165,6.464945098292941e-15,2.244309166649329e-12,L6 CT CTX,Tbr1
4164814,4164814,Nebl,7.7890005,1.0107363,6.7541328796443115e-15,2.319757234248049e-12,L6 CT CTX,Tbr1
4164815,4164815,Brinp3,7.7022123,1.0876145,1.33730629101417e-14,4.544729853199208e-12,L6 CT CTX,Tbr1
4164816,4164816,Jmjd1c,7.678758,0.5865497,1.606384225836836e-14,5.402303617827318e-12,L6 CT CTX,Tbr1
4164817,4164817,Slc2a13,7.6372986,0.7254315,2.2182674846435667e-14,7.383171725950262e-12,L6 CT CTX,Tbr1
4164818,4164818,Peak1,7.6320863,0.75556034,2.3098436852435983e-14,7.609520752866284e-12,L6 CT CTX,Tbr1
4197005,4197005,Lrp1b,-7.6181087,-0.51297736,2.5741938826365663e-14,8.394732272820358e-12,L6 CT CTX,Tbr1
4197004,4197004,Ipcef1,-7.5683575,-0.8322033,3.779727762554393e-14,1.220285108140686e-11,L6 CT CTX,Tbr1
