step,wall_time,metric_name,value
267,1758584846.0904732,val_loss_epoch,0.054749995470047
267,1758584846.0905237,epoch,0.0
268,1758584864.411398,lr-Adam,6.721069075865671e-05
268,1758584864.4114923,lr-Adam-momentum,0.8999999761581421
269,1758584864.8385527,train_loss,0.057981546968221664
269,1758584864.8386562,epoch,1.0
279,1758584865.4641771,train_loss,0.05814084783196449
279,1758584865.4642472,epoch,1.0
289,1758584866.0900147,train_loss,0.056460700929164886
289,1758584866.0900784,epoch,1.0
299,1758584866.7051353,train_loss,0.05696791410446167
299,1758584866.705174,epoch,1.0
309,1758584867.3635798,train_loss,0.05280793458223343
309,1758584867.3636208,epoch,1.0
319,1758584868.0000637,train_loss,0.051512449979782104
319,1758584868.0001142,epoch,1.0
329,1758584868.6219714,train_loss,0.05495553836226463
